GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
se15,at.aau.ue5.bsp1.service,InvoiceServiceImpl,0,150,0,12,0,42,0,20,0,14
se15,at.aau.ue5.bsp4,SmellyClassRefactored,123,0,10,0,28,0,10,0,5,0
se15,at.aau.ue5.bsp4,Order,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Main,146,0,0,0,41,0,2,0,2,0
se15,at.aau.ue5.bsp4,Customer,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Item,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,SmellyClass,124,0,12,0,25,0,8,0,2,0
se15,at.aau.ue5.bsp3,Architekt,14,0,0,0,5,0,3,0,3,0
se15,at.aau.ue5.bsp3,Person,21,0,0,0,8,0,4,0,4,0
se15,at.aau.ue5.bsp3,Ide,21,0,0,0,2,0,1,0,1,0
se15,at.aau.ue5.bsp3,Tester,14,0,0,0,5,0,3,0,3,0
se15,at.aau.ue5.bsp3,Feld,15,0,0,0,2,0,1,0,1,0
se15,at.aau.ue5.bsp3,Entwickler,26,0,0,0,9,0,5,0,5,0
se15,at.aau.ue5.bsp1.service.exception,InvoiceServiceException,3,4,0,0,2,2,1,1,1,1
se15,at.aau.ue5.bsp5,Fraction,89,15,20,0,14,6,16,3,6,3
se15,at.aau.ue5.bsp5,MyMath,3,100,1,5,1,15,1,10,0,8
se15,at.aau.ue5.bsp1.dao.impl,AbstractListDao,0,8,0,0,0,2,0,1,0,1
se15,at.aau.ue5.bsp1.dao.impl,ListProductDao,1,117,1,15,1,30,1,13,0,6
se15,at.aau.ue5.bsp1.dao.impl,ListInvoiceDao,2,116,4,12,2,29,4,10,0,6
se15,at.aau.ue5.bsp1.dao.impl,ListCustomerDao,2,143,4,16,2,35,4,13,0,7
se15,at.aau.ue5.bsp2,CashMachine,0,187,0,28,0,50,0,21,0,7
se15,at.aau.ue5.bsp2,CashMachineState,0,57,0,0,0,2,0,1,0,1
se15,at.aau.ue5.bsp1.entity,Product,132,24,27,1,33,10,21,4,7,4
se15,at.aau.ue5.bsp1.entity,Invoice,106,91,25,11,23,31,21,10,4,9
se15,at.aau.ue5.bsp1.entity,Customer,129,27,27,1,32,11,20,5,6,5
